sister	If B is parent of A and B is parent of C and A is female, then A is sister of D.
brother	If B is parent of A and B is parent of C and A is male, then A is brother of D.
mother	If A is parent of B and A is female, then A is mother of C.
father	If A is parent of B and A is male, then A is father of C.
grandmother	If A is parent of B and B is parent of C and A is female, then A is grandmother of D.
grandfather	If A is parent of B and B is parent of C and A is male, then A is grandfather of D.
greatGrandmother	If A is parent of B and B is parent of C and C is parent of D and A is female, then A is greatGrandmother of E.
greatGrandfather	If A is parent of B and B is parent of C and C is parent of D and A is male, then A is greatGrandfather of E.
aunt	If B is parent of A and B is parent of C and C is parent of D and A is female, then A is aunt of E.
uncle	If B is parent of A and B is parent of C and C is parent of D and A is male, then A is uncle of E.
greatAunt	If B is parent of A and B is parent of C and C is parent of D and D is parent of E and A is female, then A is greatAunt of F.
greatUncle	If B is parent of A and B is parent of C and C is parent of D and D is parent of E and A is male, then A is greatUncle of F.
secondAunt	If B is parent of A and C is parent of B and C is parent of D and D is parent of E and E is parent of F and A is female, then A is secondAunt of G.
secondUncle	If B is parent of A and C is parent of B and C is parent of D and D is parent of E and E is parent of F and A is male, then A is secondUncle of G.
girlCousin	If B is parent of A and C is parent of B and C is parent of D and D is parent of E and A is female, then A is girlCousin of F.
boyCousin	If B is parent of A and C is parent of B and C is parent of D and D is parent of E and A is male, then A is boyCousin of F.
girlSecondCousin	If B is parent of A and C is parent of B and D is parent of C and D is parent of E and E is parent of F and F is parent of G and A is female, then A is girlSecondCousin of H.
boySecondCousin	If B is parent of A and C is parent of B and D is parent of C and D is parent of E and E is parent of F and F is parent of G and A is male, then A is boySecondCousin of H.
girlFirstCousinOnceRemoved	If B is parent of A and C is parent of B and D is parent of C and D is parent of E and E is parent of F and A is female, then A is girlFirstCousinOnceRemoved of G.
boyFirstCousinOnceRemoved	If B is parent of A and C is parent of B and D is parent of C and D is parent of E and E is parent of F and A is male, then A is boyFirstCousinOnceRemoved of G.
daughter	If B is parent of A and A is female, then A is daughter of C.
son	If B is parent of A and A is male, then A is son of C.
granddaughter	If B is parent of A and C is parent of B and A is female, then A is granddaughter of D.
grandson	If B is parent of A and C is parent of B and A is male, then A is grandson of D.
greatGranddaughter	If B is parent of A and C is parent of B and D is parent of C and A is female, then A is greatGranddaughter of E.
greatGrandson	If B is parent of A and C is parent of B and D is parent of C and A is male, then A is greatGrandson of E.
niece	If B is parent of A and C is parent of B and C is parent of D and A is female, then A is niece of E.
nephew	If B is parent of A and C is parent of B and C is parent of D and A is male, then A is nephew of E.
